mu,sigma,draw
0.025447895562497203,0.4829614977967806,224
0.03545368117244206,0.5033858393479873,225
0.004118756113907104,0.480773211683555,226
0.004903402786536034,0.4796383489218498,227
0.027895506051989646,0.4919874118061303,228
0.03515735192538569,0.503522206043734,229
0.031071641785775476,0.5019571638826655,230
0.012175389928825827,0.49778092863899703,231
0.015334514237939245,0.4815169324440341,232
0.033094168634822445,0.472332787679591,233
0.023497742171798394,0.5125799747464267,234
0.026427202675507293,0.4836864052146237,235
0.009584000803686477,0.5217343878204128,236
0.02353901307822229,0.4768627743562011,237
0.019498411929179636,0.4847273579337876,238
0.01692052274116156,0.4806665572468966,239
0.03419452089094271,0.5074796881425815,240
0.01777227995491878,0.48871711834621107,241
-0.010604496622752738,0.4712990562326145,242
0.02569489241145484,0.5075127118337844,243
0.01351630019351061,0.47594332364117076,244
0.02507007800440925,0.477859992105374,245
-0.004410960572976864,0.4641911514262552,246
0.0013220476196757875,0.4977807812319419,247
-0.00421429490388759,0.4511657358279233,248
-0.008228334413686518,0.4836285619239398,249
0.034001398646019525,0.49597635455702155,250
0.006009367950848473,0.5012750104926651,251
0.025847600306867915,0.4659676668888331,252
0.03945769379866465,0.5163219328450703,253
0.013981427126220362,0.46311231029379757,254
0.04738787986750508,0.47907798550108943,255
0.020284629739682033,0.4979133879531904,256
0.025380784936980347,0.49527639560298675,257
0.015591484037660011,0.5201724119096403,258
0.02596596999731594,0.47761827746929897,259
0.01304929669483068,0.5382998993796495,260
0.01944994077199607,0.5035952781258269,261
-0.0033155337127783436,0.4680506771100514,262
0.036606794449888215,0.4639510850705878,263
-0.0010913822462906893,0.47715948882947196,264
0.011748775531027801,0.5070634463845856,265
0.02485654125149097,0.4908856183464796,266
0.0017560688152176958,0.5142831105467585,267
0.01390133546287851,0.5132875186456143,268
0.025380799306481613,0.48568921825106043,269
0.02045194141187872,0.4834608160324186,270
0.017113967415555032,0.4741064508266133,271
0.026364284687536238,0.46693674237473165,272
0.005977579369771148,0.48112017495925397,273
0.03133637368122982,0.5207558197385754,274
-5.699924489953288e-4,0.46494580016288684,275
0.01924366453521763,0.5274444078966893,276
-7.21059130513577e-4,0.5081511970537695,277
-0.0020208410043236705,0.4979599277680591,278
0.032171078005723615,0.48678648001278113,279
-0.014037257259555324,0.47012621676892663,280
0.042886775368091816,0.48356218052885497,281
0.0677243537097432,0.5087721756244573,282
-0.0036505943693668414,0.46725273443483256,283
0.005135051510271353,0.49964072687116784,284
0.0016307104303263128,0.4762015381426457,285
0.028609875349105623,0.46451351300549815,286
0.0018458331186676936,0.4921171280048658,287
